title	url	release_date	genre_count	genre	rating	keywords	budget	revenue
Rurouni Kenshin: The Beginning	https://www.themoviedb.org/movie/672322	Jun 04, 2021	3	Action,Adventure,Drama	78.0	1	 -	 -
Godzilla vs. Kong	https://www.themoviedb.org/movie/399566	Mar 24, 2021	3	Action,Adventure,Fantasy	79.0	9	 200,000,000.00	 467,863,133.00
Swim	https://www.themoviedb.org/movie/861057	Aug 13, 2021	2	Horror,Action	58.0	0	 -	 -
Halloween Kills	https://www.themoviedb.org/movie/610253	Oct 14, 2021	2	Horror,Thriller	80.0	11	 -	 -
Malignant	https://www.themoviedb.org/movie/619778	Sep 01, 2021	3	Horror,Thriller,Mystery	71.0	15	 40,000,000.00	 24,640,084.00
García y García	https://www.themoviedb.org/movie/774456	Aug 27, 2021	1	Comedy	32.0	3	 -	 -
The Courier	https://www.themoviedb.org/movie/522241	Mar 18, 2021	3	Thriller,History,Drama	71.0	3	 -	 15,775,585.00
Mobile Suit Gundam Hathaway	https://www.themoviedb.org/movie/685274	Jun 11, 2021	4	Animation,Action,Drama,Science Fiction	81.0	5	 -	 -
Carriers	https://www.themoviedb.org/movie/25769	Sep 04, 2009	5	Action,Drama,Horror,Science Fiction,Thriller	58.0	8	 -	 5,802,422.00
Long Story Short	https://www.themoviedb.org/movie/763532	Feb 11, 2021	3	Romance,Comedy,Fantasy	74.0	1	 -	 -
Avatar	https://www.themoviedb.org/movie/19995	Dec 10, 2009	4	Action,Adventure,Fantasy,Science Fiction	75.0	20	 237,000,000.00	 2,847,246,203.00
The Forever Purge	https://www.themoviedb.org/movie/602223	Jun 30, 2021	3	Horror,Action,Thriller	74.0	4	 18,000,000.00	 76,981,630.00
Escape Room: Tournament of Champions	https://www.themoviedb.org/movie/585216	Jul 01, 2021	3	Horror,Thriller,Mystery	70.0	2	 15,000,000.00	 44,888,959.00
Zack Snyder's Justice League	https://www.themoviedb.org/movie/791373	Mar 18, 2021	4	Action,Adventure,Fantasy,Science Fiction	84.0	6	 70,000,000.00	 -
Knowing	https://www.themoviedb.org/movie/13811	Mar 19, 2009	6	Action,Adventure,Drama,Mystery,Science Fiction,Thriller	61.0	13	 50,000,000.00	 155,446,362.00
Dune	https://www.themoviedb.org/movie/438631	Sep 15, 2021	3	Action,Adventure,Science Fiction	81.0	16	 165,000,000.00	 117,600,000.00
The Conjuring: The Devil Made Me Do It	https://www.themoviedb.org/movie/423108	May 25, 2021	3	Horror,Mystery,Thriller	78.0	9	 39,000,000.00	 199,166,992.00
Army of the Dead	https://www.themoviedb.org/movie/503736	May 14, 2021	4	Action,Adventure,Horror,Crime	64.0	20	 -	 780,000.00
Eggs Run	https://www.themoviedb.org/movie/573164	Aug 12, 2021	2	Animation,Comedy	81.0	0	 -	 -
Barbie: Big City, Big Dreams	https://www.themoviedb.org/movie/850818	Aug 20, 2021	3	Animation,Music,Family	72.0	1	 -	 -
The Kids Are Alright: Destination Asturias	https://www.themoviedb.org/movie/800823	Jul 08, 2021	2	Comedy,Family	49.0	3	 5,308,245.00	 3,468,053.00
Miraculous World: Shanghai – The Legend of Ladydragon	https://www.themoviedb.org/movie/726684	Apr 04, 2021	4	Animation,Comedy,Family,Adventure	79.0	2	 -	 -
Jolt	https://www.themoviedb.org/movie/617502	Jul 15, 2021	2	Action,Comedy	68.0	1	 -	 -
Black Water: Abyss	https://www.themoviedb.org/movie/522444	Jul 09, 2020	4	Horror,Thriller,Adventure,Mystery	51.0	11	 -	 -
Nightbooks	https://www.themoviedb.org/movie/739990	Sep 15, 2021	3	Fantasy,Family,Horror	66.0	1	 -	 -
Monster Pets: A Hotel Transylvania Short	https://www.themoviedb.org/movie/813258	Apr 02, 2021	3	Animation,Comedy,Fantasy	75.0	2	 -	 -
The Unholy	https://www.themoviedb.org/movie/632357	Mar 31, 2021	1	Horror	69.0	1	 10,000,000.00	 30,763,855.00
Mortal Kombat Legends: Battle of the Realms	https://www.themoviedb.org/movie/841755	Aug 30, 2021	3	Animation,Action,Fantasy	81.0	4	 -	 -
There's Someone Inside Your House	https://www.themoviedb.org/movie/512025	Sep 24, 2021	3	Horror,Thriller,Mystery	58.0	12	 -	 -
Major Grom: Plague Doctor	https://www.themoviedb.org/movie/529106	Apr 01, 2021	2	Action,Adventure	68.0	2	 5,000,000.00	 4,493,306.00
Injustice	https://www.themoviedb.org/movie/831405	Oct 09, 2021	4	Animation,Science Fiction,Fantasy,Action	83.0	3	 -	 -
The Last Mercenary	https://www.themoviedb.org/movie/729720	Jul 30, 2021	2	Action,Comedy	69.0	0	 -	 -
Beckett	https://www.themoviedb.org/movie/597433	Aug 04, 2021	6	Action,Adventure,Crime,Drama,Thriller,Mystery	64.0	1	 -	 -
The Misfits	https://www.themoviedb.org/movie/581644	Jun 10, 2021	3	Action,Comedy,Crime	57.0	0	 -	 -
The Marco Effect	https://www.themoviedb.org/movie/659940	May 27, 2021	2	Thriller,Crime	64.0	0	 -	 2,686.00
